#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
15600	0.02	0.00400090465576364	526.9757720223477
15650	0.02	0.0028376447085527636	373.75797217774635
15700	0.02	0.004297297013352119	566.0148406581637
15750	0.02	0.003380073056497473	445.20346314019247
15800	0.02	0.0038608277584473126	508.52566199549995
15850	0.02	0.0018158923716514864	239.17872751153763
15900	0.02	0.002914034554417374	383.8195961010207
15950	0.02	0.005473840359737822	720.9822521875002
16000	0.02	0.009575860802157252	1261.276404506619
16050	0.02	0.009231155067758517	1215.8737803167073
16100	0.02	0.005596905166078708	737.1916290435179
16150	0.02	0.004618908280231942	608.3755965964307
16200	0.02	0.009611193249569064	1265.9301879266902
16250	0.02	0.010148583614922532	1336.7121052741966
16300	0.02	0.015949773358556255	2100.8109046283666
16350	0.02	0.018254147955332263	2404.3296551727844
16400	0.02	0.013034636971528502	1716.8461815772055
16450	0.02	0.014387753428393428	1895.0707709748342
16500	0.02	0.014634758881700613	1927.6048852938973
16550	0.02	0.019061465611802594	2510.6648173148888
16600	0.02	0.020335402123346533	2678.4602871997326
16650	0.02	0.018044879226385372	2376.766001578076
16700	0.02	0.01930459906012624	2542.6889337732073
16750	0.02	0.014351203696685582	1890.2566539835175
16800	0.02	0.01265327410219343	1666.6152938705977
16850	0.02	0.013927076810546224	1834.3931399813168
16900	0.02	0.011120092814171636	1464.6736175695685
16950	0.02	0.011700928067261664	1541.1778415515048
17000	0.02	0.00933893476679329	1230.069892194896
17050	0.02	0.007372973162305596	971.1249226368911
17100	0.02	0.002965877140343222	390.6479984481129
17150	0.02	0.004042466430390555	532.4500460066293
17200	0.02	-0.00027149226601109534	-35.759374138843675
17250	0.02	0.0023153956864863543	304.9703840519221
17300	0.02	-0.0038072351813255106	-501.46676103850155
17350	0.02	-0.002872918362493011	-378.404011665449
17400	0.02	-0.006474559406003973	-852.7911147715844
17450	0.02	-0.007835562022406489	-1032.0544230011224
17500	0.02	-0.0071835844085747615	-946.1797431595742
17550	0.02	-0.005590503759916108	-736.3484732463147
17600	0.02	-0.003832485097374686	-504.79253236982913
17650	0.02	-0.002197617099600216	-289.4572771193157
17700	0.02	-0.007384147740845116	-972.5967727956806
17750	0.02	-0.005256254611051169	-692.3231293738563
17800	0.02	-0.000526065619232759	-69.29028799280015
17850	0.02	-0.0004251614093464596	-55.99977535123148
17900	0.02	-0.0015419557060478068	-203.09739134828598
17950	0.02	-0.0005079995462531964	-66.91073047395197
18000	0.02	-0.0011264421724614948	-148.36837779082907
18050	0.02	0.0013952922764361774	183.77974179228022
18100	0.02	-0.0015439647504420983	-203.36201093105552
18150	0.02	0.0014006857842657422	184.49014311321622
18200	0.02	0.0009523349461654339	125.4359917716166
18250	0.02	8.618284297275889e-07	0.1135150025263022
18300	0.02	0.004228758243615883	556.9873145852332
18350	0.02	0.006448306777749715	849.3332720504455
18400	0.02	0.008938178330547334	1177.284597229318
18450	0.02	0.013401453929814384	1765.1611669156143
18500	0.02	0.009744475283023243	1283.4853182082984
18550	0.02	0.009570113353715883	1260.5193841974283
18600	0.02	0.007536702075795685	992.6903379647781
18650	0.02	0.009383642586516881	1235.958544847574
18700	0.02	0.011506308663677096	1515.5437114537626
18750	0.02	0.009766311797940954	1286.3614962972867
18800	0.02	0.013112596521044625	1727.11455768899
18850	0.02	0.01360612956341778	1792.1198448428506
18900	0.02	0.016261514627772533	2141.871642174265
18950	0.02	0.014504581879728706	1910.4587316071613
19000	0.02	0.014084773533347887	1855.1640304158298
19050	0.02	0.014201392461119849	1870.5243938292685
19100	0.02	0.016594045660614044	2185.670685848201
19150	0.02	0.018611872356135872	2451.447021994597
19200	0.02	0.023636880529296217	3113.311722433042
19250	0.02	0.01835392175834022	2417.4712772286803
19300	0.02	0.017218474813378536	2267.9168434459057
19350	0.02	0.012450158869796587	1639.862142868204
19400	0.02	0.011539550652466687	1519.9221518849079
19450	0.02	0.009675405408654358	1274.387838137986
19500	0.02	0.009668892191802544	1273.5299552904432
19550	0.02	0.009226958339431107	1215.3210117954382
19600	0.02	0.004724542525533743	622.2891218512058
19650	0.02	0.0035888499100344066	472.7023297813979
19700	0.02	0.0006818282497985954	89.80643110468753
19750	0.02	0.003396028714196638	447.3050490957662
19800	0.02	0.001394992604831792	183.74027080042674
19850	0.02	0.0019447922087922117	256.1566605129987
19900	0.02	0.001625130644888715	214.05270805283592
19950	0.02	-0.0021405397677567092	-281.9393846422038
20000	0.02	-0.00290474269153884	-382.5957262427657
20050	0.02	-0.004243384426580199	-558.9137899008241
20100	0.02	-0.004507996149663956	-593.7668991488401
20150	0.02	-0.0043050526776236085	-567.0363714164952
20200	0.02	-0.008327651620208288	-1096.869588074401
20250	0.02	-0.012585312323402483	-1657.6637656718997
20300	0.02	-0.01698191497048255	-2236.7585638653086
20350	0.02	-0.020944718327644257	-2758.7158555754886
20400	0.02	-0.019055378788038785	-2509.863096472209
20450	0.02	-0.01844255818768314	-2429.145949534356
20500	0.02	-0.02049110383223354	-2698.968406064232
20550	0.02	-0.02366602219813039	-3117.1500926900744
20600	0.02	-0.02786162803598311	-3669.770766196703
20650	0.02	-0.02508134422502595	-3303.568036119213
20700	0.02	-0.02273335872943774	-2994.30511293198
20750	0.02	-0.02213376040341808	-2915.3295266724244
20800	0.02	-0.018746517317725413	-2469.181669202536
20850	0.02	-0.02393911739061	-3153.120594932664
20900	0.02	-0.024044060461106572	-3166.943082682693
20950	0.02	-0.020139836311501336	-2652.7015017385907
21000	0.02	-0.01810142153363512	-2384.2134237434448
21050	0.02	-0.01736151906682361	-2286.7577962749087
21100	0.02	-0.020187805225642213	-2659.0196866836004
21150	0.02	-0.020273450676725934	-2670.300404818192
21200	0.02	-0.01849491333470279	-2436.041863432299
21250	0.02	-0.016567464840585813	-2182.1696156251987
21300	0.02	-0.0160003175195294	-2107.468286031263
21350	0.02	-0.016991759505122286	-2238.0552284170376
