SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
C=CCOC(=O)c1ccco1,298,1.115,1.1553,0.00072,0.9193
OCC1CO1,298,1.1143,1.1948,0.0008,0.8833
OCCS,293,1.1143,1.1193,0.00056,0.9204
COCC(O)CO,293,1.114,1.1152,0.00064,0.9728
SCCOCCS,293,1.114,1.1154,0.00067,0.9206
C=CC(=O)Cl,293,1.1136,1.29,0.00062,0.9011
CC(C)(Cl)Cl,293,1.1136,1.1467,0.00061,0.9271
c1ccc(Sc2ccccc2)cc1,293,1.1136,1.1363,0.00053,0.9167
CC(O)CCl,293,1.113,1.1019,0.00039,0.9811
Cc1cscn1,298,1.112,1.1187,0.00087,0.9157
CCC(Cl)CCl,298,1.1116,1.1023,0.00064,0.9657
C=CC(=O)OCCOCCOC(=O)C=C,298,1.111,1.1484,0.00049,0.9698
C=CC(=O)OCC1CO1,293,1.1109,1.1654,0.00044,0.8847
CCOC(=O)CCCl,293,1.1086,1.1126,0.00036,0.9876
CCC(=O)OCc1ccco1,293,1.1085,1.1273,0.00064,0.9473
CCO[N+](=O)[O-],293,1.1084,1.1037,0.00098,0.963
CCSSSCC,293,1.1082,1.1169,0.00086,0.8801
CC(=O)OCCO,288,1.108,1.155,0.00048,0.9923
N#Cc1ccc(F)cc1,328,1.107,1.1515,0.00056,0.9504
CCCOS(=O)(=O)OCCC,293,1.1064,1.1089,0.00053,0.9323
O=CCCCCl,281,1.106,1.114,0.00041,0.9669
Clc1ccccc1,293,1.1058,1.1191,0.00067,0.9984
CC(=O)Cl,293,1.1051,1.2821,0.0006,0.8817
C[C@@H](Cl)[C@@H](C)Cl,298,1.105,1.1304,0.00122,0.9662
C=CC(=O)OCCCCOC(=O)C=C,298,1.105,1.0964,0.00041,0.9698
CCC(C)(Cl)Cl,298,1.1048,1.1105,0.00086,0.9322
CCCOC(=O)CCl,293,1.104,1.1337,0.00065,0.9519
COc1cccc(F)c1,298,1.104,1.1449,0.00078,0.9921
OCCF,293,1.104,1.1475,0.00066,0.9645
Cc1ccc([N+](=O)[O-])cc1,348,1.1038,1.1415,0.00076,0.9492
CCOC(=O)CCSCCC(=O)OCC,293,1.1034,1.1129,0.00092,0.9508
C=Cc1cccc(Cl)c1,293,1.1033,1.1283,0.00038,0.9482
CC(CCl)OC(C)CCl,293,1.103,1.1209,0.00057,0.9766
CC(Cl)CO,293,1.103,1.1102,0.00084,0.9651
CC(O)CC=O,293,1.103,1.0191,0.00062,0.9675
CC1(CCl)CO1,293,1.1011,1.0973,0.00076,0.8835
ClCc1ccccc1,293,1.1004,1.1222,0.00085,0.9494
C(CCOCC1CO1)COCC1CO1,298,1.1,1.1063,0.0004,0.884
C=Cc1ccccc1Cl,293,1.1,1.127,0.00041,0.939
CC(C)OP(C)(=O)F,293,1.1,1.151,0.00107,0.8802
CCOS(=O)OCC,293,1.1,1.0494,0.00044,0.8974
O=CC12CC=CCC1C1CC=CCC1O2,293,1.1,1.1457,0.00063,0.9067
CC(=O)c1cccc(O)c1,382,1.0992,1.1446,0.00058,0.9665
