SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
CCCCSCCCC,293,0.8386,0.8605,0.00105,0.9499
C=CCC(O)CCC,295,0.8384,0.85,0.00052,0.9802
C=CC(C)(O)CC(C)C,293,0.8382,0.8601,0.00073,0.9677
C=C1CC=C(C(C)C)CC1,295,0.838,0.8684,0.0006,0.8912
CCCCSCC,293,0.8376,0.8611,0.00064,0.9499
CC1=CC=C(C(C)C)CC1,292,0.8375,0.8618,0.00083,0.893
CC/C=C/C#N,298,0.837,0.8324,0.00042,0.9419
CC(O)CN(C)C,298,0.837,0.8483,0.00094,0.9832
CCCSCC,293,0.837,0.8605,0.00065,0.9498
C=CCC(C)O,293,0.8367,0.8636,0.00099,0.9808
CC1(C)CCCC(C)(C)N1,289,0.8367,0.8538,0.00084,0.9467
CCCC(=O)OCC(C)C,291,0.8364,0.8904,0.0004,0.9788
C=CC(=C)CC/C=C(\C)CCC=C(C)C,293,0.8363,0.855,0.00055,0.9357
CC(C)CSCC(C)C,283,0.8363,0.8594,0.00069,0.9506
CCSCC,293,0.8362,0.859,0.00067,0.9486
C=C1CCCCC1=C,293,0.8361,0.8989,0.0008,0.8979
CCC(C)C(O)C(C)CC,291,0.836,0.8406,0.00056,0.9646
CC(C)CS,293,0.8357,0.8498,0.00053,0.9226
CCOCCOCC,298,0.8351,0.8493,0.00076,0.9943
CC(C)CCS,293,0.835,0.8492,0.00068,0.9228
CCCC(C)(C)O,289,0.835,0.8243,0.00058,0.9877
CCCC(O)(CC)CCC,293,0.835,0.8365,0.00041,0.9707
CCC(C)SC(C)CC,293,0.8348,0.8649,0.00052,0.9348
CCC(C)CCC(C)(O)CC,295,0.8347,0.8383,0.00036,0.9765
CCCOCOCCC,293,0.8345,0.8451,0.0006,0.9586
C=CCC#N,293,0.8341,0.8858,0.00069,0.9568
C=CC(O)CCC,295,0.834,0.8665,0.00082,0.9665
CC1(C)COC1,298,0.834,0.7984,0.00063,0.8786
CCCCOCOCCCC,293,0.8339,0.8481,0.00088,0.9586
CCCCCC=O,293,0.8335,0.8265,0.00046,0.9665
C=CCCC(C)=O,300,0.833,0.8613,0.00046,0.9845
CCC(C)(O)C(C)C,293,0.833,0.8351,0.0008,0.9683
CCCC(O)C(C)CC,298,0.8329,0.8255,0.00067,0.9648
C/C=C/C(C)O,298,0.8328,0.8783,0.00052,0.9651
NC1CCC1,293,0.8328,0.8861,0.00073,0.8921
CCCC(C)S,293,0.8327,0.8493,0.00067,0.9238
CCC(CC)CO,293,0.8326,0.8486,0.00079,0.9628
CC(C)CCSCCC(C)C,293,0.8323,0.8533,0.00048,0.9499
C1CN1,298,0.832,0.9184,0.00058,0.9103
CC(C)CCCC(C)CCO,298,0.832,0.8435,0.00055,0.9763
CCCCC(CC)CO,298,0.8319,0.845,0.00074,0.9612
CCCCOCCOCCCC,298,0.8319,0.8516,0.00075,0.992
CCOCOCC,293,0.8319,0.827,0.00093,0.9577
CCCOCCOCCC,298,0.8312,0.8516,0.00043,0.992
CCC(C)C(C)O,293,0.8307,0.8361,0.00065,0.9667
CCC(=O)CCC(C)C,293,0.8304,0.8465,0.00066,0.9821
CC1=CCC2(C(C)C)CC12,293,0.8301,0.8623,0.00061,0.8564
C#CCOC,285,0.83,0.8496,0.00056,0.9019
CCCCCCCCCC=O,288,0.83,0.8472,0.00047,0.9665
C=CC1CC=CCC1,293,0.8299,0.8706,0.00067,0.9168
CCC1CO1,293,0.8297,0.8706,0.00046,0.8861
C=C/C=C\OC,293,0.8296,0.868,0.0007,0.9427
CCC(C)S,293,0.8295,0.8488,0.00037,0.9236
CSC(C)C,293,0.8291,0.8574,0.00079,0.952
CCCCC(OCC)OCC,295,0.829,0.8476,0.00044,0.9512
CC(C)C(O)C(C)C,293,0.8288,0.8221,0.00045,0.9683
CCC(C)(O)CC,293,0.8286,0.8272,0.00044,0.9837
CCC(C)(C)CO,293,0.8283,0.8407,0.00065,0.9776
CCCCC(C)(O)CC,293,0.8282,0.8343,0.00077,0.9833
CCN(CC)CCN,293,0.828,0.8136,0.00064,0.9662
CCNCCNCC,293,0.828,0.8302,0.00056,0.9899
CNCCNC,288,0.828,0.8404,0.001,0.9938
CNNC,293,0.8274,0.8377,0.00034,0.9465
C=CC(=C)OC,293,0.8272,0.8799,0.00086,0.914
CN(C)CCCN,293,0.8272,0.8237,0.00048,0.9849
CCCC(C)C(O)CC,298,0.827,0.8276,0.00063,0.9637
CCCCCCCC(O)CC,293,0.827,0.8389,0.00043,0.9824
CCCSC(C)C,293,0.8269,0.8593,0.00074,0.9444
CCCC(C)CO,293,0.8263,0.8419,0.00072,0.9706
CCCCCCCCO,298,0.8262,0.8455,0.00057,0.9937
CCCCCCC(O)CCC,293,0.8261,0.835,0.00058,0.9816
C=CCOCC=C,293,0.826,0.8327,0.00051,0.9695
CC(C)N(CCO)C(C)C,298,0.826,0.8549,0.00046,0.952
CC1=CCCC=C1,291,0.826,0.8712,0.00058,0.9109
CCC(C)(O)CCCC(C)C,298,0.826,0.8302,0.00039,0.9833
CCCCCC(O)CC,293,0.8258,0.8305,0.0008,0.9824
CCOC(C)OCC,293,0.8254,0.846,0.00063,0.9591
CCC(O)C(C)(C)C,293,0.8253,0.8268,0.00059,0.9715
CCCCCCCC(=O)CC,293,0.8251,0.8531,0.00048,0.9827
CCOC(CC)OCC,293,0.825,0.8457,0.0008,0.9532
CCCC(C)(O)CCC,293,0.8248,0.8285,0.00053,0.9828
CCSC(C)C,293,0.8246,0.8583,0.00078,0.9422
CCC(O)C(C)C,293,0.8243,0.8203,0.00053,0.9724
CCC(C)CCO,293,0.8242,0.844,0.00048,0.9776
C=C1C=CC=C1,293,0.8241,0.9017,0.00053,0.8601
CC(C)(C)C(=O)C(C)(C)C,291,0.824,0.8602,0.00073,0.9387
CCCCC(C)CCO,297,0.824,0.8453,0.00064,0.9763
CCCCCCC(=O)CCC,293,0.824,0.8466,0.00056,0.9807
CCOOCC,292,0.824,0.8476,0.00064,0.903
NC1CC1,293,0.824,0.9224,0.00037,0.8602
C/C=C/C#N,293,0.8239,0.8213,0.00043,0.942
C=CCCC#N,297,0.8239,0.8621,0.00066,0.9721
CC(C)C(C)(C)O,293,0.8236,0.8314,0.00051,0.9695
CC(CCO)CC(C)(C)C,298,0.8236,0.8443,0.00058,0.9762
CCCCCCCCCC(C)O,298,0.8234,0.8414,0.00067,0.9889
CCCC(C)(O)CC,293,0.8233,0.8261,0.00061,0.9835
C1=CCCCCC1,293,0.8228,0.864,0.00069,0.9179
C[C@@H]1O[C@@H]1C,298,0.8226,0.8418,0.00076,0.8897
CC(C)(C)CC(C)(C)O,293,0.8225,0.8324,0.0006,0.966
CC1=C(C)CCCC1,298,0.822,0.8452,0.0004,0.8983
CC=C1CCCCC1,298,0.822,0.8494,0.00087,0.8995
CCCC(C)C(C)O,298,0.822,0.8288,0.00061,0.9655
CCCCCC(=O)CC,298,0.822,0.8442,0.00061,0.9827
CCN(CC)CCCN,293,0.822,0.8275,0.0008,0.9669
CC1CCC(C)C(C)C1C,293,0.8219,0.8148,0.00056,0.9493
CCCCCCCO,293,0.8219,0.8464,0.00075,0.9937
CC(C)CCCC(C)O,293,0.8218,0.8322,0.00076,0.9858
CCCCCCCC=O,293,0.8211,0.8368,0.00055,0.9665
CCCCCCC(C)(C)O,293,0.821,0.8348,0.0008,0.9874
CCCC(O)CC(C)C,293,0.8207,0.8221,0.00056,0.9807
CCC(O)CC,293,0.8203,0.8192,0.00058,0.9828
CCCC(C)CC=O,293,0.8203,0.8284,0.00043,0.9664
C#COCCCC,293,0.82,0.8357,0.00068,0.901
C=CC(C)(C)O,293,0.82,0.8654,0.00058,0.9698
CCCCCCC(C)=O,293,0.82,0.8404,0.00076,0.9919
CCOC(C)(C)OCC,294,0.82,0.8525,0.00073,0.9634
CCCCCCCCCCF,293,0.8194,0.8419,0.00047,0.9636
CCCCCCC(C)O,293,0.8193,0.8382,0.00048,0.9889
CC(C)CCCCO,297,0.8192,0.8372,0.00049,0.9858
C#CCNC,298,0.819,0.8211,0.00055,0.9008
CN1CCCC1,293,0.8188,0.8299,0.0011,0.9503
CC(C)CCCC(C)(C)O,293,0.8186,0.8271,0.00043,0.9858
CCCC(O)CCC,293,0.8183,0.8219,0.00056,0.9819
CCCCC(=O)CC,293,0.8183,0.8455,0.00062,0.9827
C#CCCCCCCCC#C,294,0.8182,0.8395,0.00051,0.8965
CCCC(O)CC,293,0.8182,0.8213,0.00067,0.9827
CC(C)C(C)O,293,0.818,0.8275,0.00031,0.974
CC(C)CC(C)CC(O)CC(C)C,293,0.8178,0.83,0.00075,0.9748
CCCCC(C)C(C)O,298,0.8177,0.8356,0.00038,0.9651
CC(C)CCCCCO,298,0.8176,0.8415,0.00045,0.9858
CCC1=CCCCC1,298,0.8176,0.8394,0.00089,0.8988
CCC(C)CCC(C)O,294,0.8174,0.8368,0.00075,0.9766
CCCC(=O)CCC,293,0.8174,0.8356,0.00048,0.9816
C#CCCCCC#C,294,0.8169,0.832,0.00046,0.8965
CCCCCC(C)O,293,0.8167,0.8344,0.00073,0.9889
C=CC1CCCCC1,292,0.8166,0.8378,0.00057,0.9481
C#CCCCC#C,290,0.8164,0.828,0.00058,0.8965
CCCCCCCCCC1CCCCC1,293,0.8163,0.8386,0.00059,0.959
CCCCC(C)O,293,0.8159,0.8286,0.00071,0.9889
CC1(C)OC1(C)C,289,0.8156,0.826,0.00092,0.8715
CCC(C)CO,298,0.8152,0.8358,0.00051,0.9716
CC(=O)CCCC(C)C,293,0.8151,0.8344,0.00073,0.9858
CC(C)(C)SC(C)(C)C,298,0.815,0.8722,0.00036,0.9138
CCCCC(=O)CCC,298,0.8146,0.8376,0.00054,0.9807
CCCCCO,293,0.8144,0.8401,0.00078,0.994
CC(C)S,293,0.8143,0.8379,0.00048,0.9232
CC(C)SC(C)C,293,0.8142,0.8564,0.00032,0.9323
CCCCCC(C)(C)O,293,0.8142,0.8293,0.00064,0.9874
CC(C)CCC(C)O,293,0.814,0.8304,0.00063,0.9858
CCC(=O)C(C)C,291,0.814,0.8501,0.00062,0.9597
CCCSCCC,290,0.814,0.8622,0.00062,0.9499
CCCCCCCCC1CCCCC1,293,0.8138,0.8364,0.00071,0.959
CCCCCCCC#N,293,0.8136,0.8387,0.00046,0.9765
CCCCCCO,293,0.8136,0.8428,0.00059,0.9937
CCCCCCC=O,298,0.8132,0.8281,0.00063,0.9665
CC(C)CCCO,293,0.8131,0.8392,0.0006,0.9858
CCC(C)C1CCCCC1,293,0.8131,0.8272,0.00068,0.9512
CCCC(=O)CC(C)C,295,0.813,0.828,0.00091,0.9805
CC(C)(C)C1CCCCC1,293,0.8127,0.8273,0.0008,0.9459
CCC(=O)C(C)(C)C,293,0.8125,0.849,0.00051,0.9648
C=COCCCCCCCCCC,293,0.812,0.8361,0.00035,0.9798
CC1CN1,289,0.812,0.8799,0.00068,0.8981
CCC(C)(C)S,293,0.812,0.8538,0.00053,0.9177
CCCCP(CCCC)CCCC,298,0.812,0.877,0.00052,0.8807
CCCCC(C)(C)O,293,0.8119,0.8269,0.00046,0.9877
C/C=C(C)/C=C/C=C(C)C,293,0.8118,0.8332,0.00041,0.9307
CCCC(=O)CC,293,0.8118,0.8393,0.00069,0.9836
CCCCCCCCF,293,0.8116,0.8345,0.00071,0.9636
CC(C)CC(O)CC(C)C,293,0.8114,0.8211,0.00045,0.9804
CCCCC(C)=O,293,0.8113,0.8324,0.00057,0.9926
CC1(C)CO1,293,0.8112,0.8151,0.00068,0.8755
CCCCCC(C)=O,293,0.8111,0.8351,0.0008,0.9921
C1=CCCCC1,293,0.811,0.8411,0.00037,0.9189
CCC(C=O)CC,293,0.811,0.832,0.00053,0.9457
CCCCCCCCCCC1CCCC1,293,0.811,0.8354,0.00035,0.9427
CCCCCCCC1CCCCC1,293,0.8109,0.8321,0.00041,0.959
CC(C)C(=O)C(C)C,293,0.8108,0.8412,0.00066,0.9526
CCCCCC(C)(O)CC,298,0.8108,0.8321,0.00042,0.9833
CCCCCCC#N,293,0.8106,0.8353,0.00054,0.9765
CC(C)CCO,293,0.8104,0.8311,0.00084,0.9861
CC(C)CC(C)(C)O,293,0.8103,0.8196,0.00037,0.9753
CC1=CCCCC1,293,0.8102,0.8369,0.0007,0.9078
CC1=CC=CC1,293,0.81,0.82,0.00054,0.8971
COC1CC1,293,0.81,0.8575,0.00072,0.8739
C1CCCCCC1,293,0.8098,0.8262,0.0004,0.9935
CCC(=O)CC,298,0.8098,0.8429,0.00096,0.9842
CCC(C)(C)O,293,0.8096,0.8217,0.00055,0.9896
CCCCC=O,293,0.8095,0.8199,0.00057,0.9665
CCCCO,293,0.8095,0.8338,0.00072,0.9935
CCCC(C)O,293,0.8094,0.8238,0.00072,0.9889
CCCC(=O)C(C)C,293,0.8091,0.8421,0.00056,0.9594
C=CCN(CC=C)CC=C,293,0.809,0.8395,0.00076,0.9579
CC(=O)CC(C)(C)C,298,0.809,0.8161,0.00052,0.9825
CCCC(C)=O,293,0.809,0.8238,0.00044,0.9926
CCCCCCCCCC1CCCC1,293,0.8081,0.8332,0.00059,0.9427
CCC(C)(C)OOC(C)(C)CC,293,0.808,0.8528,0.00071,0.9009
CCCCCCC1CCCCC1,293,0.8076,0.829,0.00054,0.959
CC(C)CC(C)O,293,0.8075,0.8233,0.00065,0.981
C=C1CCCCC1,293,0.8074,0.8461,0.0006,0.9032
CC(C)C(=O)C(C)(C)C,293,0.8065,0.8409,0.00078,0.9467
CCCC(C)CCCO,298,0.8065,0.8467,0.0007,0.9759
CC(C)CC(=O)CC(C)C,293,0.8062,0.8271,0.00057,0.9788
CCCCCCCF,293,0.8062,0.8291,0.00067,0.9636
CC(C)N=C=NC(C)C,298,0.806,0.844,0.00062,0.9019
CN(C)CCCCCCN(C)C,298,0.806,0.8185,0.00074,0.99
CC(=O)C(C)C,293,0.8051,0.833,0.00047,0.9585
CCCCCC#N,293,0.8051,0.8305,0.00052,0.9765
C#CCCC#C,293,0.8049,0.8234,0.00062,0.8964
CCCCCCCCC1CCCC1,293,0.8048,0.8292,0.0005,0.9427
CCC(C)C(C)(C)O,293,0.804,0.8325,0.0005,0.9636
CCCCCC1CCCCC1,293,0.8037,0.8333,0.00076,0.959
CC(C)CCC#N,293,0.803,0.8238,0.00041,0.9756
CN(C)CCN,298,0.803,0.8056,0.0007,0.9873
CCCC(C)CC(C)O,293,0.8027,0.8363,0.0005,0.976
CC(C)C1CCCCC1,293,0.8023,0.8188,0.00075,0.9513
CCC(C)CCCC(C)(C)O,298,0.8023,0.834,0.00045,0.9768
C1=CCC=C1,293,0.8021,0.8184,0.00063,0.9287
CC(C)CO,293,0.8018,0.8331,0.00046,0.9798
CCCC=O,293,0.8016,0.8062,0.00069,0.967
C=CC(=C)CCC=C(C)C,288,0.8013,0.8237,0.0006,0.9357
C[C@@H]1O[C@H]1C,298,0.801,0.8226,0.00047,0.8897
CCCCCCCC1CCCC1,293,0.801,0.8247,0.00087,0.9427
CCCCC#N,293,0.8008,0.825,0.00079,0.9765
CCCCCCCOCCCCCCC,293,0.8008,0.8221,0.00051,0.9924
C=CC#N,298,0.8007,0.8068,0.00071,0.9413
CCP(CC)CC,292,0.8006,0.8919,0.00074,0.8788
C=C(C)C#N,293,0.8001,0.8165,0.00061,0.9326
C=C/C(C)=C/CCC(=C)C,293,0.8,0.8224,0.00051,0.9359
C#COCC,293,0.8,0.8203,0.00098,0.901
CCN(CC)CN(CC)CC,293,0.8,0.8049,0.0009,0.9514
CCC(C)=O,298,0.7999,0.824,0.0005,0.9907
CCCO,298,0.7997,0.8298,0.00064,0.995
CCCCCCF,293,0.7995,0.8208,0.0009,0.9636
CC1CC=CCC1,293,0.7991,0.8245,0.00059,0.9181
C=C/C(C)=C/CC=C(C)C,293,0.799,0.8278,0.00044,0.9371
C=C/C(C)=C\CC=C(C)C,293,0.799,0.8296,0.00053,0.9371
CC1=CC(C)CCC1,298,0.799,0.825,0.00066,0.9112
CC1C=CCCC1,293,0.799,0.833,0.00056,0.9154
CC1CCCN1C,293,0.799,0.8289,0.00075,0.9421
CC(C)CC=O,293,0.7977,0.8066,0.00048,0.967
CCNNCC,299,0.797,0.8168,0.00075,0.9462
CC(=O)CC(C)C,298,0.7965,0.8126,0.00065,0.986
CCCCCCC1CCCC1,293,0.7965,0.8207,0.00057,0.9427
C[C@@H]1CCCC[C@@H]1C,293,0.7963,0.8084,0.00078,0.9586
CC1CCCCC1(C)C,298,0.7963,0.8067,0.00074,0.9515
CC(C)CC1CCCCC1,293,0.7952,0.8158,0.0005,0.959
CC(C)(C)S,298,0.7943,0.8328,0.00061,0.917
CCC1=CCCC1,298,0.7936,0.8069,0.00065,0.8812
CCCC#N,293,0.7936,0.8167,0.00062,0.977
CCCC1CCCCC1,293,0.7936,0.8129,0.00037,0.9594
CCCCCCOCCCCCC,293,0.7936,0.8139,0.00054,0.9924
C=C(OCC)OCC,293,0.7932,0.9025,0.00067,0.9163
C=CCC1CCCC1,298,0.793,0.8191,0.00039,0.943
CC1=C(C)CCC1,298,0.7928,0.8047,0.00042,0.888
CC(C)CC#N,293,0.7914,0.8074,0.00071,0.9739
CCC(C)C#N,288,0.7913,0.8152,0.00045,0.9605
CCCCCC1CCCC1,293,0.7912,0.8142,0.00063,0.9427
CN(C)N,295,0.791,0.8103,0.00061,0.945
C#CC#CC,293,0.7909,0.8335,0.00045,0.8975
CCCCCF,293,0.7907,0.8135,0.00065,0.9636
CCCCC1CCCCC1,293,0.7902,0.8215,0.00036,0.959
C[C@H]1CCC[C@H](C)C1,288,0.79,0.7984,0.00063,0.9674
C#CC(C)(C)N,298,0.79,0.8051,0.00072,0.902
C=CCOC=C,293,0.79,0.8304,0.00082,0.9725
CCO,293,0.7893,0.8389,0.00038,0.9888
CC(C)C=O,293,0.7891,0.8107,0.00079,0.9599
C=COCCCC,293,0.7888,0.8019,0.00077,0.9798
CC(C)(C)O,293,0.7887,0.8064,0.00046,0.9881
CCC1CCCCC1,293,0.788,0.8079,0.00097,0.9596
C[C@H]1CC[C@H](C)[C@@H](C)C1,298,0.787,0.7912,0.00097,0.9572
CCPCC,293,0.786,0.8652,0.00041,0.8798
CC#N,293,0.7857,0.8086,0.00038,0.9723
C=CC#CC=C,293,0.7851,0.8088,0.00045,0.9122
CCCCCC#CCCCCC,293,0.785,0.7973,0.00069,0.9137
CCCCC1CCCC1,293,0.7846,0.809,0.00049,0.9427
CC(C)=O,298,0.7845,0.7899,0.00094,0.9932
C#CCCCCCCCCCCC,293,0.7842,0.8075,0.00055,0.8965
C=CC1CCCC1,293,0.7834,0.8237,0.0007,0.9346
CCCCCOCCCCC,293,0.7833,0.8025,0.00107,0.9924
CC#CCCCCCCCC,293,0.7827,0.7992,0.00042,0.9163
CCC#N,293,0.7818,0.8144,0.00081,0.9744
CC(C)O,298,0.7809,0.82,0.00065,0.9846
CC1(C)CCCCC1,293,0.7809,0.7943,0.00082,0.968
CC1=CCCC1C,293,0.78,0.8078,0.00044,0.884
[C-]#[N+]CCCC,293,0.78,0.7782,0.00058,0.8765
CCC1CCC(C)CC1,293,0.7798,0.8119,0.00049,0.9583
CC1CC(C)CC(C)C1,293,0.7794,0.7957,0.00074,0.967
C#CCN(C)C,293,0.7792,0.7888,0.00067,0.9017
CCC(C)(C)C(C)(C)CC,298,0.7789,0.7785,0.0007,0.9723
C#CCCCCCCCCCC,293,0.7788,0.8004,0.00057,0.8965
C=C1CCCC1,293,0.7787,0.8213,0.00057,0.8726
CC(C)CCOCCC(C)C,293,0.7777,0.7936,0.00077,0.986
CCCCOCCC,273,0.7772,0.7936,0.00066,0.9917
CC(C)CC1CCCC1,298,0.7769,0.8013,0.00075,0.9422
CCC1(C)CCCC1,298,0.7767,0.7985,0.00032,0.9317
CC(C)C1CCCC1,293,0.7765,0.7977,0.00069,0.9422
C=CCCCCCCCCCCCCC,293,0.7764,0.8009,0.00068,0.9907
C=CCOCCC,293,0.7764,0.7963,0.00075,0.9708
CCCC1CCCC1,293,0.7763,0.7996,0.00074,0.9425
C[C@H]1CCCC[C@@H]1C,293,0.776,0.7966,0.00066,0.9586
C=CC#CCCCC,293,0.7749,0.7919,0.00051,0.9035
CC1CCCC(C)(C)C1,298,0.7749,0.7919,0.00059,0.9672
CC1=CCCC1,298,0.7748,0.792,0.00051,0.8871
C=CCCCCCCCCCCCC,298,0.7745,0.7933,0.0007,0.9907
C#CCCCCCCCCC,293,0.7728,0.7941,0.00053,0.8965
CCC1CCC(C)C1,293,0.7724,0.7918,0.00057,0.9433
CCCCCCOCC,293,0.7722,0.7875,0.00056,0.9921
C1=CCCC1,293,0.772,0.7849,0.00058,0.912
CC(C)C#N,293,0.7704,0.7989,0.00058,0.9632
C=CCOC,284,0.77,0.7877,0.00056,0.9705
CN(C)CCN(C)C,298,0.77,0.7873,0.00076,0.987
CC1CCCCC1,293,0.7694,0.7919,0.00084,0.9669
C=COC(C)(C)C,293,0.7691,0.8065,0.00066,0.9647
CCCCC#CCCCC,293,0.769,0.7858,0.0008,0.9137
CCOCCC(C)C,294,0.7688,0.771,0.00083,0.986
CC(C)CN(CC(C)C)CC(C)C,293,0.7684,0.7898,0.00082,0.963
CCCCOCCCC,293,0.7684,0.7865,0.00074,0.9919
C[C@@H]1CCC[C@@H]1C,298,0.768,0.7913,0.00114,0.9397
C=COCCC,293,0.7674,0.7903,0.00051,0.9799
CCC1CCCC1,293,0.7665,0.7891,0.00046,0.944
C[C@@H]1CCC[C@H](C)C1,293,0.766,0.7881,0.00039,0.9674
CC1CCCC1(C)C,293,0.766,0.7962,0.00058,0.931
CCC(C)(C)OC,298,0.766,0.7835,0.00059,0.9875
CCCCCCN,293,0.766,0.7728,0.00065,0.9913
C#CCCCCCCC,293,0.7658,0.7772,0.00102,0.8965
C=CCCCCCCCCCCC,293,0.7658,0.79,0.00044,0.9907
CC(C)(C)OC(C)(C)C,293,0.7658,0.7888,0.0008,0.9565
C#CCCCCCCCC,293,0.7655,0.7877,0.00054,0.8965
C=CCOCC,293,0.7651,0.7838,0.00083,0.971
CC[C@@H]1CCC[C@H]1C,298,0.7649,0.7909,0.0004,0.9394
C=C(C)CCC=C(C)C,298,0.7648,0.7761,0.00055,0.9594
C=COCC(C)C,293,0.7645,0.7932,0.00071,0.9789
CCCCC(CCCC)CCCC,291,0.7635,0.7814,0.00026,0.9603
CC1CC=CC1,298,0.7634,0.7802,0.00081,0.9118
CCCCOCC(C)C,288,0.763,0.7847,0.00076,0.9802
CCCCCOCC,293,0.7622,0.7782,0.0007,0.9921
CC(C)COCC(C)C,288,0.761,0.7775,0.00037,0.9802
CCCC(C)(C)C(C)(C)C,298,0.7609,0.7708,0.0006,0.973
C=CC(C)CCC=C(C)C,293,0.7601,0.7848,0.00063,0.9593
CC#CCCCCC,293,0.7596,0.773,0.0008,0.9163
[C-]#[N+]C(C)C,298,0.7596,0.7318,0.00065,0.8707
CCCCOC(C)C,288,0.7594,0.777,0.00058,0.9847
CC1C[C@@H](C)[C@@H](C)C1,298,0.7592,0.7872,0.00041,0.9387
CCCCCOC,295,0.759,0.7702,0.00072,0.9931
C=CCCCCCCCCCC,293,0.7584,0.7823,0.00051,0.9907
C=CCN,293,0.758,0.7706,0.00091,0.9708
C/C=C\CCCCCCCC,293,0.7576,0.7791,0.00073,0.9895
CC(C)C(C)N,292,0.7574,0.7436,0.00062,0.9746
CC1C=CCC1,298,0.7572,0.7894,0.00083,0.9092
CCCCCCCCCCCCC,293,0.7564,0.7774,0.00083,0.9939
CCC(C)OC(C)CC,298,0.756,0.7811,0.00052,0.9764
[C-]#[N+]C,277,0.756,0.7213,0.00066,0.882
CCCN(CCC)CCC,293,0.7558,0.7723,0.00048,0.9649
CC(C)C(C)(C)C(C)C,293,0.7547,0.761,0.00066,0.9689
CCCCCN,293,0.7544,0.757,0.0006,0.9912
CCC(CC)(CC)CC,293,0.7536,0.7585,0.00038,0.9581
C=COC(C)C,293,0.7534,0.7927,0.0005,0.974
CCC(C)NC(C)CC,293,0.7534,0.7622,0.00048,0.9613
C=C(C)CNCC,298,0.753,0.7828,0.00061,0.952
CCC(C)(C)C(C)(C)C,298,0.753,0.7595,0.00073,0.9723
CCC#CCCCC,293,0.7529,0.7684,0.00031,0.9123
C/C=C/CCCCCCCC,293,0.7528,0.7772,0.00064,0.9895
CCC(C)C(C)C(C)CC,298,0.7519,0.7598,0.00055,0.9618
C=C(C)C1CC1,293,0.751,0.7787,0.00068,0.8967
CCOC(C)(C)CC,291,0.751,0.7863,0.00028,0.9848
CCCC#CCCC,293,0.7509,0.7654,0.0008,0.914
CCC/C=C/CCCCCC,293,0.7508,0.7759,0.00048,0.9865
CCC(C)(CC)C(C)C,298,0.7508,0.7541,0.00054,0.965
CC(C)CCN,293,0.7505,0.7492,0.00068,0.9857
C=CCCCCCCCCC,293,0.7503,0.7744,0.00056,0.9907
CCOC(C)CC,293,0.7503,0.7621,0.00095,0.9846
C=CCCCCCCC=C,298,0.75,0.7772,0.00057,0.9907
CC1(C)CCCC1,298,0.7499,0.7805,0.00042,0.9311
CCCC/C=C/CCCCC,293,0.7497,0.7752,0.00068,0.9865
CCCCCCCCCCCC,293,0.7495,0.7698,0.00039,0.9939
CCCCOCC,293,0.7495,0.7638,0.00048,0.9915
CN(C)CN(C)C,291,0.7491,0.7838,0.00074,0.9561
CCC(N)CC,293,0.7487,0.7422,0.00072,0.9751
CC1CCCC1,293,0.7486,0.7775,0.00055,0.9433
CCCCCCCCC(C)CC,298,0.7485,0.7658,0.00065,0.9768
C=CCN(CC)CC,298,0.7477,0.7707,0.0006,0.9652
CCC(CC)C(CC)CC,298,0.7472,0.758,0.00077,0.9585
CC1(C)CCC(C)(C)C1,298,0.7469,0.7817,0.00084,0.933
C[C@@H]1CCC[C@H]1C,298,0.7468,0.7784,0.0008,0.9397
CCCOCCC,293,0.7466,0.767,0.00064,0.9917
CC(CC(C)(C)C)CC(C)(C)C,293,0.7463,0.7691,0.00054,0.9755
C#CCCCCCC,293,0.7461,0.7655,0.00062,0.8965
C1CCCC1,293,0.7457,0.7709,0.0005,0.9942
CC(C)(C)CN,293,0.7455,0.7416,0.00096,0.9858
C[C@@H]1CC[C@@H](C)C1,298,0.7443,0.7756,0.00048,0.9431
CC(C)(C)/C=C\C(C)(C)C,293,0.744,0.7824,0.00066,0.9617
CC#CCCCC,298,0.744,0.7541,0.00059,0.9163
CC1CCC(C)(C)C1,298,0.7439,0.7781,0.00049,0.9322
CCC(CC)C(C)(C)C,293,0.7438,0.7488,0.00083,0.9573
CC(C)=C(C)C(C)C,293,0.7434,0.7548,0.00065,0.9101
C=C(C)CCC(=C)C,293,0.743,0.7667,0.00099,0.9592
CCCCCCCC(C)CC,293,0.7422,0.7604,0.00051,0.9768
CCC(C)C(CC)CC,293,0.742,0.7461,0.00064,0.9598
CCN(C(C)C)C(C)C,298,0.742,0.748,0.00057,0.9537
CCC(C)C(C)(C)CC,298,0.7414,0.7504,0.0005,0.9648
CCCCN,293,0.7414,0.7379,0.00076,0.9908
C=C(C)CCCCCCC,298,0.7412,0.7642,0.00072,0.9607
CCCCC(C)C(C)CC,298,0.741,0.753,0.00074,0.9671
C=CCCCCCCCC,293,0.7408,0.7627,0.00076,0.9907
C[C@@H]1CC[C@H](C)C1,298,0.7402,0.7739,0.00044,0.9431
CCCCCCCCCCC,293,0.7402,0.7621,0.00055,0.9939
[C-]#[N+]CC,293,0.7402,0.729,0.00052,0.8752
C=C1CCC1,293,0.7401,0.7441,0.00064,0.883
C=CC#CC,293,0.7401,0.7612,0.00059,0.9054
CCCNCCC,293,0.74,0.7525,0.00055,0.9895
